Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL1254141,,None,549.07,1,1.76,9f-alpha,COC[C@H]1O[C@H](OCCc2ccccc2)[C@H](NC(=O)CCCN=C(N)N)[C@@H](OCc2ccc(Cl)cc2)[C@@H]1O,IC50,'=',540,nM,6.27,,,UO_0000065,11.41,0.23,4.51,4.16,0,CHEMBL1252088,Displacement of [I125I]MCH from human MCH1 receptor expressed in CHO cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1250479,1,Scientific Literature,J Med Chem,2010,CHEMBL3308072,,
CHEMBL202095,,None,488.51,0,4.6,16,Cc1cc(N2CCCN(C)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',3.7,nM,8.43,,,UO_0000065,17.26,0.33,3.83,12.6,0,CHEMBL853089,Displacement of [125I]MCH from human MCH1 receptor expressed in CHO cell by WC assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138133,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308072,,
CHEMBL204082,,None,564.61,2,6.54,9,Cc1cc(NC2CCN(Cc3ccccc3)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',13,nM,7.89,,,UO_0000065,13.97,0.26,1.35,10.41,0,CHEMBL853089,Displacement of [125I]MCH from human MCH1 receptor expressed in CHO cell by WC assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138133,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308072,,
CHEMBL189118,,None,472.51,1,5.09,20,Cc1cc(N(C)CCN(C)C)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',19,nM,7.72,,,UO_0000065,16.34,0.31,2.63,13.38,0,CHEMBL853090,Inhibition of human MCH1 receptor by SPA assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138133,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL202095,,None,488.51,0,4.6,16,Cc1cc(N2CCCN(C)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',20,nM,7.7,,,UO_0000065,15.76,0.3,3.1,11.5,0,CHEMBL853090,Inhibition of human MCH1 receptor by SPA assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138133,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL203558,,None,474.48,0,4.26,11,Cc1cc(N2CCN[C@@H](C)C2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',13,nM,7.89,,,UO_0000065,16.62,0.32,3.63,10.41,0,CHEMBL853090,Inhibition of human MCH1 receptor by SPA assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138133,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL540930,,None,601.04,2,6.48,30,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1c[nH]c(=O)c(Cl)c1,IC50,'=',21,nM,7.68,,,UO_0000065,,,,,0,CHEMBL1063192,Antagonist activity at human MCHR1 expressed in HEK293 cells assessed as [35S]GTPgammaS accumulation,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1152349,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3307715,,
CHEMBL1446321,,None,539.27,1,2.11,SID26666350,O=C(CN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O)N1CCN(Cc2ccccc2)CC1,IC50,'=',20714,nM,4.68,,Not Active,UO_0000065,,,,,0,CHEMBL1614083,PUBCHEM_BIOASSAY: Fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based high throughput dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays: 1880 (Summary AID.),,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1531690,,None,442.56,0,3.8,SID4247317,O=C(c1ccc2c(c1)OCO2)N(CC1CCCO1)C1(C(=O)NC2CCCC2)CCCCC1,IC50,'>',43807,nM,,,Not Active,UO_0000065,,,,,0,CHEMBL1614083,PUBCHEM_BIOASSAY: Fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based high throughput dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays: 1880 (Summary AID.),,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1353612,,None,379.96,0,4.14,SID14725256,CCn1c(CNc2ccc(Cl)cc2)nnc1SCCN1CCCCC1,IC50,'=',21512,nM,4.67,,Not Active,UO_0000065,,,,,0,CHEMBL1614083,PUBCHEM_BIOASSAY: Fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based high throughput dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays: 1880 (Summary AID.),,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1589399,,None,357.88,0,4.11,SID24800284,Cc1ccccc1CC1(CO)CCCN(C(=O)c2ccccc2Cl)C1,IC50,'=',33316,nM,4.48,,Not Active,UO_0000065,,,,,0,CHEMBL1614083,PUBCHEM_BIOASSAY: Fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based high throughput dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays: 1880 (Summary AID.),,,,,,,,,,,,,,,,,,,,,,,
CHEMBL578049,,None,389.45,0,3.28,4n,Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc1N(C)C,IC50,'=',2,nM,8.7,,,UO_0000065,,,,,0,CHEMBL1037057,Antagonist activity at CART form of human MCH1 receptor expressed in HEK293 cells coexpressing Galphaq assessed as inhibition of MCH-induced intracellular calcium level by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156067,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3307715,,
CHEMBL1484343,,None,422.55,0,4.71,SID14725452,O=C(NC1CCCC1)C(c1ccccc1)N(Cc1ccco1)C(=O)Cc1cccs1,IC50,'=',4756,nM,5.32,,Active,UO_0000065,,,,,0,CHEMBL1614083,PUBCHEM_BIOASSAY: Fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based high throughput dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays: 1880 (Summary AID.),,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1412874,,None,501.65,1,4.76,SID49717490,Cc1ccc(CN2C(=O)c3ccccc3Sc3ccc(C(=O)NCCCN4CCOCC4)cc32)cc1,IC50,'=',10409,nM,4.98,,Not Active,UO_0000065,,,,,0,CHEMBL1614083,PUBCHEM_BIOASSAY: Fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based high throughput dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays: 1880 (Summary AID.),,,,,,,,,,,,,,,,,,,,,,,
