,Molecule ChEMBL ID,Smiles,Standard Value,class
0,CHEMBL1254141,COC[C@H]1O[C@H](OCCc2ccccc2)[C@H](NC(=O)CCCN=C(N)N)[C@@H](OCc2ccc(Cl)cc2)[C@@H]1O,540.0,active
1,CHEMBL202095,Cc1cc(N2CCCN(C)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,3.7,active
2,CHEMBL204082,Cc1cc(NC2CCN(Cc3ccccc3)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,13.0,active
3,CHEMBL189118,Cc1cc(N(C)CCN(C)C)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,19.0,active
4,CHEMBL203558,Cc1cc(N2CCN[C@@H](C)C2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,13.0,active
5,CHEMBL540930,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1c[nH]c(=O)c(Cl)c1,21.0,active
6,CHEMBL1446321,O=C(CN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O)N1CCN(Cc2ccccc2)CC1,20714.0,inactive
7,CHEMBL1531690,O=C(c1ccc2c(c1)OCO2)N(CC1CCCO1)C1(C(=O)NC2CCCC2)CCCCC1,43807.0,inactive
8,CHEMBL1353612,CCn1c(CNc2ccc(Cl)cc2)nnc1SCCN1CCCCC1,21512.0,inactive
9,CHEMBL1589399,Cc1ccccc1CC1(CO)CCCN(C(=O)c2ccccc2Cl)C1,33316.0,inactive
10,CHEMBL578049,Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc1N(C)C,2.0,active
11,CHEMBL1484343,O=C(NC1CCCC1)C(c1ccccc1)N(Cc1ccco1)C(=O)Cc1cccs1,4756.0,intermediate
12,CHEMBL1412874,Cc1ccc(CN2C(=O)c3ccccc3Sc3ccc(C(=O)NCCCN4CCOCC4)cc32)cc1,10409.0,inactive
13,CHEMBL214276,COc1cc(-n2cnc3cc(-c4ccccc4)sc3c2=O)ccc1OCCN1CCCC1,1.995,active
14,CHEMBL206081,COc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,6.0,active
15,CHEMBL384988,O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2[nH]c(NCCN3CCCC3)nc2c1,6.31,active
16,CHEMBL425982,Nc1nc2cc(-n3cnc4cc(-c5ccc(Cl)cc5)sc4c3=O)ccc2[nH]1,31.62,active
17,CHEMBL265132,Cc1ccc(Sc2ccc(C(=O)NCCN3CCCC3)cc2NC(=O)CCc2ccccc2)cc1C,1000.0,active
18,CHEMBL210069,CN(C)C1CCN(c2ccc(-c3coc4cc(-c5ccc(Cl)cc5)ccc4c3=O)cn2)C1,10.0,active
19,CHEMBL424728,Cc1nc(N2CCCC2)nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc12,165.0,active
20,CHEMBL3794306,Cn1c(C2CC2)nc2ccc(-n3ccc(OCc4ccc(C(F)(F)F)s4)cc3=O)cc21,18.0,active
21,CHEMBL3794256,Cc1c2cc(-n3ccc(OCc4ccc(Cl)cc4)cc3=O)ccc2nn1C1CC1,31.0,active
22,CHEMBL3601029,COc1ccc(CCCNc2ccc(CN3CCCCC3)cc2)nn1,3000.0,intermediate
23,CHEMBL3600977,O=C(NCc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,899.0,active
24,CHEMBL3600975,O=C(COc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,94.0,active
25,CHEMBL3600972,O=C(/C=C/c1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,16.0,active
26,CHEMBL207257,Cn1c(=O)c(C#N)c(NC2CCN(Cc3ccc4ccccc4c3)CC2)c2cc(Cl)ccc21,12.0,active
27,CHEMBL197232,Clc1ccc2c(c1)c(NC1CCN(Cc3ccc4c(c3)OCO4)CC1)nn2Cc1ccccn1,9.0,active
28,CHEMBL183159,CC(CC(C)(C)C)Oc1cccc2ccc(N)nc12,550.0,active
29,CHEMBL364377,Nc1ccc2cccc(OCC3CCCCC3)c2n1,1680.0,intermediate
30,CHEMBL371576,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)CCC(=O)Nc3ccc(F)cc3)cc12,224.0,active
31,CHEMBL435494,CCN1CCN(c2ccc3cc(NC(=O)/C=C/c4ccc(OC(F)(F)F)cc4)ccc3n2)CC1,29.0,active
